Year,UN World Population Estimate (Billion),Normalized UN Population Estimate,Global Real GDP,Global Foreign Direct Investment (Trillion US Dollar),FDI Density of Link,Global Primary Energy Use (Exajoule),Global Fertilizer Consumption (Million Ton),Global Accumulative Large Dams (Thousand),Global Water Use (Thousand km3),Global Paper Production (Million Ton),Global Transportation (Million Vehicles),Global Telecommunications (Billion Landlines & Subscriptions),International Tourism (Million Arrivals),Global Carbon Dioxide Concentration (ppm),Nitrous Oxide (ppb),Methane (ppb),Ozone % Loss,Temperature Anomaly (Degree Celcius),Mean H+ Concentration (nmol kg-1),Marine Fish Capture (Million Ton),Shrimp Aquaculture (Million Ton),Tropical Forest % Loss,% Domesticated Land,Global CO2 emissions (kt),Global Methane emissions (kt of CO2 equivalent),Global Nitrous oxide emissions (thousand metric tons of CO2 equivalent),USPTO Patent Grants,Web of Science Publications,FAO Trade Flows (bilateral links)
1950,2.525149,1.000000,5.536425839,0.000205756,,112.3,14.518,5.76,1.226581493,,,0.000713,25.3,311.24,288.22,1117.27,,-0.05,6.9695,14,0.001325,16.17,0.31,,,,,80416,
1951,2.572850917,1.018890734,5.875230553,0.000304704,,116.3,15.142,5.924,1.328106362,,,0.000644611,,311.48,288.41,1124.79,,-0.055,6.9711,16,0.001585,16.44,0.32,,,,,85026,
1952,2.619292068,1.037282183,6.136942695,0.000379584,,118.8,16.438,6.167,1.379031418,,,0.002231856,,311.79,288.65,1133.24,,-0.059,6.9791,18,0.002855,16.83,0.32,,,,,89153,
1953,2.665865392,1.055725976,6.446109404,0.000466756,,121.8,19.277,6.428,1.373804788,,,0.002492889,,312.19,288.96,1142.61,,-0.062,6.9791,18,0.001312,17.12,0.32,,,,,91364,
1954,2.713172027,1.074460171,6.680806315,0.000445721,,123.8,20.713,6.706,1.372677662,,,0.002744876,,312.75,289.33,1152.87,,-0.064,6.9888,19,0.001629,17.34,0.33,,,,,96051,
1955,2.761650981,1.093658624,7.122643484,0.000463865,,129.7,21.837,7.025,1.424773253,,,0.003614708,,313.46,289.75,1164.12,,-0.063,7,20,0.002173,17.60,0.33,,,,,82978,
1956,2.811572031,1.113428170,7.440477249,0.000768138,,135.0,23.402,7.395,1.457353329,,,0.003909975,,314.13,290.19,1176.11,9.8,-0.059,6.9952,22,0.001961,17.90,0.33,,,,,113825,
1957,2.863042795,1.133811429,7.733244469,0.0005893,,141.7,24.745,7.777,1.567294694,,,0.004230503,,314.68,290.62,1187.50,4.6,-0.053,7.0065,22,0.002266,18.22,0.34,,,,,120875,
1958,2.916030167,1.154795288,7.92459136,0.000545381,,148.2,26.707,8.304,1.576923377,,,0.065929841,,315.17,291.02,1198.16,7.5,-0.045,7.0194,23,0.002793,18.50,0.34,,,,,131327,
1959,2.970395814,1.176324967,8.336840249,0.000654451,,153.5,28.396,8.786,1.638316188,,,0.070282607,,315.66,291.37,1208.98,15.1,-0.039,7.0275,25,0.002751,18.76,0.34,,,,,135341,
1960,3.026002942,1.198346292,8.812103941,0.001134826,,160.0,30.034,9.51,1.751856694,,,0.087019098,69.3,316.15,291.69,1220.25,13.8,-0.035,7.034,27,0.002963,19.04,0.34,9396705.835,,,,149278,
1961,3.082830266,1.220850835,9.206742545,0.001126579,,163.8,31.5702,9.993,1.765317095,74.149896,,0.091275608,,316.67,291.98,1231.97,6.9,-0.036,7.0469,30,0.003250,19.21,0.34,9434402.595,,,,176568,
1962,3.141071531,1.243915322,9.689157052,0.001167967,,172.4,33.9481,10.513,1.836014016,77.4279,,0.095773279,,317.24,292.26,1244.13,-0.3,-0.042,7.0583,33,0.003696,19.33,0.35,9818839.874,,,,184926,
1963,3.201178277,1.267718569,10.13993685,0.001152986,,180.1,36.3936,11.052,1.919424572,82.254624,177.117816,0.100632356,,317.84,292.54,1256.57,7.5,-0.05,7.0615,34,0.002490,19.46,0.35,10355747.346,,,48971,193457,
1964,3.263738832,1.292493565,10.83871025,0.000953407,,188.0,41.026,11.619,1.946670963,91.0406,189.085136,0.106246722,,318.45,292.83,1268.88,6.6,-0.058,7.0615,39,0.002567,19.60,0.35,10947007.092,,,50389,218450,
1965,3.329122479,1.318386550,11.39083796,0.001796624,,189.7,46.1429,12.267,2.094529301,96.520804,200.612922,0.114262242,112.9,319.10,293.14,1280.90,15.1,-0.066,7.0729,39,0.003472,19.68,0.35,11433441.976,,,66647,284530,
1966,3.397475247,1.345455356,12.00732521,0.001885067,,197.7,51.1689,12.865,2.155354004,103.838496,217.137673,0.120547652,,319.86,293.49,1293.50,7.2,-0.071,7.0909,43,0.003394,19.80,0.35,12009447.002,,,71886,322373,
1967,3.468521724,1.373590914,12.49327835,0.002308873,,201.4,55.1829,13.489,2.133103825,105.018096,221.788712,0.127954624,,320.76,293.91,1307.43,14.1,-0.074,7.1138,46,0.004813,19.92,0.35,12389685.566,,,69098,344296,
1968,3.541674891,1.402560756,13.23353289,0.002569836,,211.5,58.9079,14.13,2.349150276,113.110796,240.53533,0.135761607,,321.77,294.38,1323.13,13.1,-0.076,7.1285,49,0.005285,20.06,0.35,13017193.607,,,62714,360667,
1969,3.616108749,1.432037772,15.04521517,0.00302285,,221.3,61.9192,14.728,2.358734738,122.067408,258.025055,0.144863149,,322.82,294.93,1340.10,22.3,-0.077,7.1384,47,0.008578,20.13,0.35,13797116.836,,,71230,395320,
1970,3.691172616,1.461764282,15.65727547,0.013345594,,230.7,68.1453,15.424,2.362057427,125.632008,267.437178,0.162698206,165.8,323.89,295.53,1357.58,22.6,-0.078,7.1647,53,0.009022,20.17,0.35,14788798.314,5305820,2225930.2,67964,400622,
1971,3.766754345,1.491695874,16.27215307,0.014282047,,239.6,71.8056,16.132,2.43574901,127.495408,276.688598,0.174285606,,324.97,296.18,1374.96,12.1,-0.08,7.1829,53,0.011494,20.20,0.35,15323175.556,5145430,2089238.8,81790,415574,
1972,3.842873611,1.521840339,17.11427929,0.01493273,,251.2,77.5571,16.831,2.547232873,136.6608,292.07033,0.187845733,,326.09,296.85,1392.00,17.7,-0.082,7.2028,48,0.014370,20.42,0.36,15957192.522,5360610,2245410.6,78185,445125,
1973,3.919182332,1.552059832,18.15521186,0.020645962,,264.3,84.1895,17.569,2.606315332,147.3411,310.209842,0.204249287,,327.28,297.54,1408.62,24.9,-0.082,7.221,48,0.017380,20.57,0.36,16822109.477,5421500,2291020.9,78622,456227,
1974,3.995304922,1.582205613,18.41661875,0.024126565,,266.7,81.0877,18.335,2.724754347,149.484908,327.281211,0.216435751,,328.46,298.23,1424.45,24.9,-0.078,7.2394,52,0.020573,20.74,0.36,16850822.087,5379140,2240345.2,81278,491892,
1975,4.071020434,1.612190185,18.58147762,0.02656701,,268.6,88.8986,19.166,2.638242268,127.012725,338.048902,0.23224443,222.3,329.64,298.93,1439.75,19.0,-0.07,7.2527,51,0.022292,20.88,0.36,16745791.873,5503270,2329578.7,76810,556029,
1976,4.14613585,1.64193711,19.46913441,0.022002319,,282.6,96.2545,19.976,2.73968812,146.281208,356.631731,0.246823188,,330.82,299.62,1454.73,16.4,-0.057,7.2694,54,0.030960,21.05,0.36,17726098.317,5649430,2412556.4,75388,591905,
1977,4.220816737,1.671511953,20.20767274,0.02713946,,292.6,100.7956,20.672,2.790536168,151.125,353.49653,0.263164467,,332.01,300.30,1469.40,25.9,-0.038,7.2979,52,0.043762,21.20,0.36,18279804.316,5796380,2524965.5,69781,667331,
1978,4.295664825,1.701153011,21.0830647,0.034358118,,304.5,107.6585,21.521,2.991132086,158.9127,396.019085,0.280220488,,333.24,300.96,1483.85,25.2,-0.016,7.3215,54,0.053364,21.37,0.36,18497906.475,5795950,2552326.1,70514,687110,
1979,4.371527871,1.731196009,21.92875864,0.042291972,,314.1,112.3509,22.241,3.110120553,167.780808,419.5967626,0.297893866,,334.53,301.59,1498.40,23.3,0.006,7.3418,54,0.063398,21.52,0.36,19533547.949,5972760,2710503.6,52413,711340,
1980,4.449048798,1.761895555,22.31943678,0.054078331,,313.3,115.8822,23,3.073437839,169.3323,426.8828055,0.315406442,276.7,335.89,302.19,1513.57,33.8,0.027,7.3706,55,0.071897,21.65,0.36,19324327.264,6011410,2732925.9,66170,732051,
1981,4.528234634,1.793254431,22.71780322,0.069570245,,311.3,114.4241,23.618,3.053974247,169.094143,452.1908669,0.343362806,276.9,337.29,302.76,1529.87,30.8,0.044,7.3943,57,0.088599,21.78,0.36,18726246.898,5871770,2636112.9,71064,758231,
1982,4.608962418,1.825223944,22.81586676,0.058059247,,311.7,114.1566,24.256,3.067192208,166.207512,529.108288,0.305453524,276.7,338.73,303.31,1546.71,37.7,0.059,7.4114,58,0.112007,21.90,0.36,18562354,6289190,2803906.6,63276,793281,
1983,4.69155984,1.85793386,23.45406777,0.050267753,,315.5,124.5814,24.823,3.033538896,176.397087,474.256706,0.318561099,280.3,340.21,303.86,1563.40,45.6,0.07,7.4251,57,0.142177,22.02,0.37,18484356.91,6140330,2778356.4,61982,854228,
1984,4.776392828,1.891529105,24.50672452,0.056838919,,327.6,130.1787,25.447,3.115820776,189.030265,466.80692,0.333792234,304.8,341.72,304.40,1579.62,44.3,0.082,7.4559,62,0.172175,22.13,0.37,19145865.375,5987230,2693295.5,72650,871733,
1985,4.863601517,1.926065162,25.35740088,0.055866105,,336.2,128.2874,25.953,3.128754701,192.004055,573.263352,0.349663642,317.9,343.23,304.95,1595.10,52.5,0.095,7.4834,64,0.213635,22.32,0.37,19719241.162,6039460,2695397.3,77245,874316,
1986,4.95337671,1.96161760,26.20425333,0.086378366,,343.1,132.3547,26.503,3.233087697,202.308443,517.128234,0.366376789,327.8,344.76,305.51,1609.79,46.6,0.11,7.5093,69,0.319667,22.49,0.37,20315356.016,6198880,2747396.7,76862,889567,154258
1987,5.045315871,1.998026996,27.12317717,0.136641175,,355.1,138.3369,26.958,3.271390125,213.64101,536.796646,0.385208811,357.6,346.30,306.08,1623.68,59.3,0.126,7.5388,68,0.494120,22.67,0.37,20817151.963,6463470,2928827.3,89385,901896,153860
1988,5.138214688,2.034816436,28.32107435,0.164023562,,367.4,143.9325,27.42,3.338411792,226.519428,549.184472,0.406002694,384.1,347.82,306.66,1636.50,39.7,0.144,7.5718,71,0.576986,22.83,0.37,21565403.313,6290090,2791221.4,84272,883111,168786
1989,5.23,2.07,29.34248305,0.197276779,,373.0,141.989,27.816,3.369048488,232.117918,570.117894,0.428804116,406.2,349.31,307.27,1648.28,57.0,0.161,7.6068,72,0.621484,22.89,0.37,22029385.156,6429940,2840340.9,102533,838236,174669
1990,5.320816667,2.107129784,30.06615498,0.207455019,,379.7,136.5128,28.177,3.321357298,239.278429,602.188829,0.522457455,434.5,350.76,307.89,1659.17,58.0,0.178,7.6313,68,0.680296,23.00,0.37,22149402.399,6668380,2953007.3,99077,863228,177798
1991,5.408908724,2.142015669,30.37411837,0.154072738,,383.6,133.6721,28.568,3.417687603,243.362829,638.727141,0.552358619,432.7,352.18,308.53,1669.33,62.0,0.193,7.6436,67,0.837849,22.95,0.37,22403928.869,6708550,2904557.4,106696,882938,198647
1992,5.49489957,2.17606944,30.88788641,0.165880811,,383.5,124.7306,28.942,3.319438059,246.300146,663.177415,0.586434353,471.5,353.58,309.20,1678.65,63.0,0.209,7.6436,68,0.897398,23.19,0.37,22183417.491,6846520,3076061.8,107394,903666,218778
1993,5.578865109,2.209321156,31.35899146,0.223316262,,387.6,119.7266,29.222,3.358249158,252.388723,706.185722,0.628461709,486.1,354.98,309.89,1686.22,66.2,0.227,7.6754,68,0.834762,23.46,0.37,22162174.56,6503170,2848968.2,109746,944327,240382
1994,5.661086346,2.241882101,32.31163276,0.255999942,,390.8,121.2629,29.544,3.464070203,268.580495,725.481122,0.688769355,507.5,356.44,310.60,1692.33,66.9,0.248,7.7019,73,0.882669,23.74,0.37,22551690.634,6617590,2955369.5,113587,991723,267475
1995,5.741822412,2.273854894,33.2495951,0.342798552,,401.0,129.2525,29.862,3.420212915,282.200926,749.091556,0.769069094,527.7,357.97,311.33,1697.69,65.2,0.271,7.7268,72,0.928358,24.01,0.37,23037524.13,6556730,2978718.7,113834,1054672,277862
1996,5.82101675,2.30521714,34.32780406,0.390899527,,411.2,133.5973,30.129,3.338874862,284.217765,778.783908,0.872207272,560.6,359.59,312.09,1702.57,63.0,0.297,7.7589,73,0.917591,24.28,0.37,23571556.674,6551630,3011978.6,121696,1106203,281706
1997,5.898688337,2.335976347,35.58053524,0.487853497,,415.0,136.1846,30.506,3.441859121,301.02658,716.286906,0.994819001,586.4,361.31,312.87,1707.69,63.6,0.323,7.7911,72,0.926554,24.55,0.37,23975007.348,7211170,3236772,124069,1134746,295538
1998,5.975303657,2.366317258,36.46596987,0.706265931,,417.3,137.1156,30.844,3.495761712,301.662831,794.791668,1.140342712,602.5,363.12,313.67,1713.59,64.3,0.349,7.8217,65,0.986053,24.83,0.37,24114192,6681100,3120987,163142,1135149,313003
1999,6.05147801,2.39648354,37.69499922,1.091438711,,425.2,139.3793,31.171,3.651048142,315.254308,794.791668,1.372074947,624.9,364.96,314.48,1719.45,62.6,0.373,7.8542,69,1.050255,25.10,0.38,24059187,6503140,2955561.7,169085,1164069,322988
2000,6.127700428,2.426668853,39.33262191,1.400540577,,434.4,136.208,31.306,3.78594889,324.434129,871.304966,1.68287694,674.5,366.82,315.29,1724.18,65.6,0.395,7.885,71,1.137377,25.37,0.38,24689911,6480650,2920510,175979,1181482,342322
2001,6.204147026,2.456942947,40.04292701,0.827617348,5946,435.4,138.2392,31.42,3.861642393,318.778734,747.767241,1.961070304,673.9,368.71,316.11,1727.34,62.0,0.416,7.9122,68,1.311005,25.60,0.38,25276631,6591630,2785436.8,183970,1170363,357844
2002,6.280853817,2.487320082,40.87793884,0.627974797,6530,445.4,141.9908,31.486,3.806857575,330.017929,848.661287,2.210014126,693.9,370.64,316.92,1729.10,37.4,0.434,7.9433,69,1.467435,25.82,0.38,25646998,6789740,2850332.2,184375,1265357,373080
2003,6.357991749,2.517867955,41.94600426,0.586956353,7156,460.9,147.2921,31.524,3.723071436,338.991635,949.555333,2.51139346,682.8,372.61,317.74,1729.97,65.6,0.449,7.9744,66,2.050510,26.04,0.38,27047792,6831780,2836658.1,187012,1311149,383223
2004,6.435705595,2.548643900,43.52947061,0.744329181,7519,483.3,154.4635,31.562,3.852973536,355.86004,1017.918915,2.927871863,753.4,374.58,318.56,1729.42,56.4,0.46,8.0076,71,2.364511,26.26,0.38,28393581,7088150,2907452.8,181299,1414252,393578
2005,6.514094605,2.579687220,44.99803615,0.980727125,8328,495.8,155.1539,31.606,3.827437377,364.821939,1098.861717,3.411931612,798,376.773,319.00,1728.56,61.0,0.467,8.039,70,2.667911,26.49,0.38,29490014,7275910,2965813.4,157718,1524155,406241
2006,6.593227977,2.611025320,46.78782564,1.463351161,8705,509.2,161.967,31.628,3.992199319,379.845118,1176.968653,3.967829525,842.2,378.699,319.83,1727.77,67.5,0.472,8.0742,66,3.111705,26.71,0.38,30568112,7617940,3100186,196405,1603495,407348
2007,6.673105937,2.642658289,48.52847356,1.975537046,9370,522.8,167.5509,31.632,4.003664798,388.031393,1176.323995,4.583242442,897.7,380.575,320.50,1733.23,61.3,0.473,8.1096,66,3.294941,26.93,0.38,31180501,7697440,3260053,182899,1674889,432388
2008,6.753649228,2.674554740,49.3602387,1.790705684,9752,533.4,154.5732,31.632,3.948326265,391.487578,1267.466506,5.239102123,916.8,382.692,321.80,1741.59,61.3,0.473,8.1433,66,3.400048,27.16,0.38,32181592,7643170,3031989.1,185224,1783465,433104
2009,6.834721933,2.706660848,48.34269909,1.197823671,9798,,162.5032,31.633,4.072946985,372.548366,1281.355196,5.850281718,882.1,384.271,322.46,1744.08,64.9,0.472,8.1771,66,3.531831,27.38,0.38,31891899,7774920,3068677.6,191927,1871739,429506
2010,6.916183482,2.738920944,50.15176769,1.309001284,10043,,171.4656,31.635,3.871886184,398.77228,,6.487050311,939.9,386.126,323.52,1750.81,54.1,0.471,8.2111,64,3.775660,27.60,0.38,33472376,7815790,3084899.9,244341,1924582,440531
2011,6.99799876,2.77132112,,,9881,,,,,,,,,388,324.24,1758.4,66.6,0.471,,,3.930030,27.66,0.38,,,,247713,2015480,447984
2012,7.080072417,2.803823623,,,9301,,,,,,,,,390,325.31,1762.4,50.8,0.471,,,,,,,,,276788,2100640,462702
2013,7.162119434,2.836315573,,,,,,,,,,,,392.8,326.139,1765.8,,0.471,,,,,,,,,302948,2200295,
2014,7.243784,2.868656,,,,,,,,,,,,,,,,,,,,,,,,,326032,2258542,
2015,7.349472,2.910510,,,,,,,,,,,,,,,,,,,,,,,,,325980,2589284,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,333583,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,351403,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,339992,,
